Sample_ID,Participant,Bottle_ID,Incubation,pH,Redox,Carbon,PFAS,Time,PFOA,diPAP,monoPAP ,FTOH,PFHxA,PFOA_Norm,diPAP_Norm
B72F14,A,Bottle_14,Biotic,7,Anaerobic,lactose,No,72,0,0,0,0,0,NA,NA
B72F15,A,Bottle_15,Biotic,2,Anaerobic,glucose,No,72,0,0,0,0,0,NA,NA
B72F16,A,Bottle_16,Biotic,7,Anaerobic,glucose,No,72,0,0,0,0,0,NA,NA
B168F1,A,Bottle_01,Biotic,2,Aerobic,lactose,Yes,168,4442,681.4788854,24.3,0,3.859468148,148.0560486,22.71596285
B168F2,A,Bottle_02,Biotic,7,Aerobic,lactose,Yes,168,4723,475.3917028,0,2.77,4.204371997,157.4188852,15.84639009
B168F3,A,Bottle_03,Biotic,2,Aerobic,glucose,Yes,168,3429,607.6142415,24.2,0,3.41947188,114.3021022,20.25380805
B168F4,A,Bottle_04,Biotic,7,Aerobic,glucose,Yes,168,4395,104.716161,0,2.3,0,146.5076688,3.4905387
B168F5,A,Bottle_05,Biotic,2,Anaerobic,lactose,Yes,168,3591,505.7167802,11.2,1.92,3.857356135,119.7155023,16.85722601
B168F6,A,Bottle_06,Biotic,7,Anaerobic,lactose,Yes,168,4372,776.149969,0,2.25,0,145.7451948,25.87166563
B168F7,A,Bottle_07,Biotic,2,Anaerobic,glucose,Yes,168,4062,970.4169659,26.2,0,3.531700309,135.4049797,32.3472322
B168F8,A,Bottle_08,Biotic,7,Anaerobic,glucose,Yes,168,3521,1217.792322,0,2.3,0,117.3680204,40.5930774
B168F9,A,Bottle_09,Biotic,2,Aerobic,lactose,No,168,0,0,0,0,0,NA,NA
B168F10,A,Bottle_10,Biotic,7,Aerobic,lactose,No,168,5.209071122,0,0,0,0,NA,NA
B168F11,A,Bottle_11,Biotic,2,Aerobic,glucose,No,168,6.913023186,0,0,0,0,NA,NA
B168F12,A,Bottle_12,Biotic,7,Aerobic,glucose,No,168,0,0,0,0,0,NA,NA
B168F13,A,Bottle_13,Biotic,2,Anaerobic,lactose,No,168,0,0,0,0,0,NA,NA
B168F14,A,Bottle_14,Biotic,7,Anaerobic,lactose,No,168,0,0,0,0,0,NA,NA
B168F15,A,Bottle_15,Biotic,2,Anaerobic,glucose,No,168,0,0,0,0,0,NA,NA
B168F16,A,Bottle_16,Biotic,7,Anaerobic,glucose,No,168,0,0,0,0,0,NA,NA
B0F17,A,Bottle_17,Abiotic,2,Aerobic,lactose,Yes,0,3121.8,1423.202722,25.07494041,0,2.529140648,104.0616465,47.44009075
B0F18,A,Bottle_18,Abiotic,7,Aerobic,lactose,Yes,0,2982.5,3575.651882,26.8659118,0,3.746160038,99.41529646,119.1883961
B0F19,A,Bottle_19,Abiotic,2,Aerobic,glucose,Yes,0,2722.9,1263.543761,29.14764601,0,3.15729548,90.76475572,42.11812538
B0F20,A,Bottle_20,Abiotic,7,Aerobic,glucose,Yes,0,NA,NA,NA,NA,NA,NA,NA
B0F21,A,Bottle_21,Abiotic,2,Anaerobic,lactose,Yes,0,2837.5,875.8555389,23.81898093,0,3.403085773,94.58187863,29.19518463
B0F22,A,Bottle_22,Abiotic,7,Anaerobic,lactose,Yes,0,2994.3,NA,20.23596544,0,0,99.81130494,NA
B0F23,A,Bottle_23,Abiotic,2,Anaerobic,glucose,Yes,0,2857.8,593.9310758,26.74961263,0,3.237585077,95.25899275,19.79770253
B0F24,A,Bottle_24,Abiotic,7,Anaerobic,glucose,Yes,0,3304.5,4774.453972,26.8533969,0,2.981040219,110.1504009,159.1484657
B0F25,A,Bottle_25,Abiotic,2,Aerobic,lactose,No,0,0,0,0,0,0,NA,NA
B0F26,A,Bottle_26,Abiotic,7,Aerobic,lactose,No,0,NA,NA,NA,NA,NA,NA,NA
B0F27,A,Bottle_27,Abiotic,2,Aerobic,glucose,No,0,12.3,0,0,0,0,NA,NA
B0F28,A,Bottle_28,Abiotic,7,Aerobic,glucose,No,0,0,0,0,0,0,NA,NA
B0F29,A,Bottle_29,Abiotic,2,Anaerobic,lactose,No,0,0,0,0,0,0,NA,NA
B0F30,A,Bottle_30,Abiotic,7,Anaerobic,lactose,No,0,0,0,0,0,0,NA,NA
B0F31,A,Bottle_31,Abiotic,2,Anaerobic,glucose,No,0,0,0,0,0,0,NA,NA
B0F32,A,Bottle_32,Abiotic,7,Anaerobic,glucose,No,0,0,0,0,0,0,NA,NA
B4F17,A,Bottle_17,Abiotic,2,Aerobic,lactose,Yes,4,NA,NA,NA,0,NA,NA,NA
B4F18,A,Bottle_18,Abiotic,7,Aerobic,lactose,Yes,4,NA,NA,NA,0,NA,NA,NA
B4F19,A,Bottle_19,Abiotic,2,Aerobic,glucose,Yes,4,NA,NA,NA,0,NA,NA,NA
B4F20,A,Bottle_20,Abiotic,7,Aerobic,glucose,Yes,4,NA,NA,NA,0,NA,NA,NA
B4F21,A,Bottle_21,Abiotic,2,Anaerobic,lactose,Yes,4,NA,NA,NA,0,NA,NA,NA
B4F22,A,Bottle_22,Abiotic,7,Anaerobic,lactose,Yes,4,NA,NA,NA,0,NA,NA,NA
B4F23,A,Bottle_23,Abiotic,2,Anaerobic,glucose,Yes,4,NA,NA,NA,0,NA,NA,NA
B4F24,A,Bottle_24,Abiotic,7,Anaerobic,glucose,Yes,4,NA,NA,NA,0,NA,NA,NA
B4F25,A,Bottle_25,Abiotic,2,Aerobic,lactose,No,4,NA,NA,NA,0,NA,NA,NA
B4F26,A,Bottle_26,Abiotic,7,Aerobic,lactose,No,4,NA,NA,NA,0,NA,NA,NA
B4F27,A,Bottle_27,Abiotic,2,Aerobic,glucose,No,4,NA,NA,NA,0,NA,NA,NA
B4F28,A,Bottle_28,Abiotic,7,Aerobic,glucose,No,4,NA,NA,NA,0,NA,NA,NA
B4F29,A,Bottle_29,Abiotic,2,Anaerobic,lactose,No,4,NA,NA,NA,0,NA,NA,NA
B4F30,A,Bottle_30,Abiotic,7,Anaerobic,lactose,No,4,NA,NA,NA,0,NA,NA,NA
B4F31,A,Bottle_31,Abiotic,2,Anaerobic,glucose,No,4,NA,NA,NA,0,NA,NA,NA
B4F32,A,Bottle_32,Abiotic,7,Anaerobic,glucose,No,4,NA,NA,NA,0,NA,NA,NA
B8F17,A,Bottle_17,Abiotic,2,Aerobic,lactose,Yes,8,NA,NA,NA,0,NA,NA,NA
B8F18,A,Bottle_18,Abiotic,7,Aerobic,lactose,Yes,8,NA,NA,NA,0,NA,NA,NA
B8F19,A,Bottle_19,Abiotic,2,Aerobic,glucose,Yes,8,NA,NA,NA,0,NA,NA,NA
B8F20,A,Bottle_20,Abiotic,7,Aerobic,glucose,Yes,8,NA,NA,NA,0,NA,NA,NA
B8F21,A,Bottle_21,Abiotic,2,Anaerobic,lactose,Yes,8,NA,NA,NA,0,NA,NA,NA
B8F22,A,Bottle_22,Abiotic,7,Anaerobic,lactose,Yes,8,NA,NA,NA,0,NA,NA,NA
B8F23,A,Bottle_23,Abiotic,2,Anaerobic,glucose,Yes,8,NA,NA,NA,0,NA,NA,NA
B8F24,A,Bottle_24,Abiotic,7,Anaerobic,glucose,Yes,8,NA,NA,NA,0,NA,NA,NA
B8F25,A,Bottle_25,Abiotic,2,Aerobic,lactose,No,8,NA,NA,NA,0,NA,NA,NA
