# Constructed from biom file
#OTU ID	SP_F1	SP_F2	SP_F3	SP_M1	SP_M2	SP_M3
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	6.208712064769285e-05	0.0014744698279785201	0.0006624941160062065	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__UBA644	0.0	0.00014562664967689086	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Clostridiales;f__Clostridiaceae_222000	0.011299855957880097	0.01177755529261855	0.007252567164699524	0.000469387509478017	0.011502559470039146	0.0008047602789835634
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae	0.0	0.0	0.00010460433410624314	6.0177885830515e-05	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Pasteurellaceae	9.933939303630854e-05	0.0	0.00017434055684373856	0.0	0.0	0.00025606008876749743
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae	0.00029801817910892565	0.0	0.0	0.0030570366001901623	0.0	0.0
d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae	0.0	0.000509693273869118	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_595427;f__Burkholderiaceae_A_595427	4.966969651815427e-05	5.460999362883408e-05	0.001813141791174881	0.00013239134882713302	0.0	0.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Staphylococcales;f__Gemellaceae	8.692196890676998e-05	0.0	0.0	0.0007221346299661801	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae	0.0	7.281332483844543e-05	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Eubacteriales_45227;f__Oscillospiraceae_45227	0.0	0.0	0.0	8.424904016272101e-05	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	0.005178065862017583	0.011195048693910985	0.008316044561446329	0.08854574121101977	0.0355615778380006	0.008681656342974199
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	0.00021109621020215568	0.000509693273869118	0.00024407677958123398	0.00012035577166103	0.000662451068955134	0.00042676681461249576
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae	0.0	0.000254846636934559	5.230216705312157e-05	0.0	0.0	0.00020728673852606937
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;__;__	0.0	0.0	0.00012203838979061699	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__QAKW01	0.0	0.00014562664967689086	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Eubacteriales_258471;f__Eubacteriaceae_258449	0.0	3.6406662419222716e-05	0.0	0.0	0.0	0.0
d__Bacteria;__;__;__;__	0.0	0.000964776554109402	0.0	0.0	0.0	0.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Thermosynechococcales;f__Thermosynechococcaceae	0.0	0.0	0.0	0.00028885385198647203	0.0	0.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Aerococcaceae	6.208712064769285e-05	0.0	0.0	0.001263735602440815	0.0	0.00010974003804321318
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__UBA2279	0.0001241742412953857	0.00047328661144989534	0.0	6.0177885830515e-05	0.00021077988557663353	0.0
d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU010;f__DTU012	0.00014900908955446283	0.00016382998088650222	0.001569065011593647	0.00013239134882713302	0.0008130081300813008	0.00010974003804321318
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Monoglobales;f__Monoglobaceae	0.00022351363433169424	0.0	0.0008194006171655712	0.0	0.0	0.004267668146124957
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__CAG-274	0.0008443848408086227	0.0	0.0	0.00016849808032544202	0.0	0.00013412671316392723
